text,label
"I'm running late by 20 minutes.",0
"Hey, are we still on for 10am?",0
"Final notice: pay your outstanding balance to avoid suspension: https://promo.example.com $$$",1
"Final notice: pay your outstanding balance to avoid suspension: http://tinyurl.com/winfast",1
"Reminder: your appointment is on 2026-04-05.",0
"Exclusive deal for you—act now and get iPhone 15. $$$",1
"YOU HAVE 2500 UNCLAIMED REWARDS WAITING. CONFIRM AT HTTP://BIT.LY/CLAIM-NOW",1
"URGENT: Your account has been compromised. Verify at http://tinyurl.com/winfast immediately.",1
"Thanks for your help today!",0
"I'll call you when I get home.",0
"LIMITED TIME OFFER: 80% OFF! BUY NOW AT HTTPS://VERIFY-NOW.EXAMPLE.NET",1
"Can you send me the contract when you have a minute?",0
"Can we reschedule our call to Friday 5pm?",0
"Your verification code is 123456.",0
"Can you send me the slides when you have a minute?",0
"CONGRATULATIONS! YOU HAVE BEEN SELECTED FOR A CASH BONUS. REPLY YES TO GET IT.",1
"Happy birthday! Hope you have a great day.",0
"Your verification code is 551902.",0
"I'll call you when I get home.",0
"Let's meet at Zoom after work.",0
"Final notice: pay your outstanding balance to avoid suspension: https://verify-now.example.net",1
"Happy birthday! Hope you have a great day.",0
"Exclusive deal for you—act now and get iPhone 15.",1
"Thanks for your help today!",0
"Let's meet at Room 203 after work.",0
"WIN a iPhone 15! Click now to claim your FREE reward!!!",1
"Your package will arrive on 2026-02-15.",0
"Hey, are we still on for Friday 5pm?",0
"You won $150 cash! Claim your prize here: http://tinyurl.com/winfast",1
"EXCLUSIVE DEAL FOR YOU—ACT NOW AND GET IPHONE 15. $$$",1
"Can you send me the slides when you have a minute?",0
"You won $300 cash! Claim your prize here: http://bit.ly/claim-now",1
"Can we reschedule our call to tomorrow morning?",0
"FREE GIFT CARD WORTH $150. TAP: HTTP://TINYURL.COM/WINFAST $$$",1
"WIN a cash bonus! Click now to claim your FREE reward!!!",1
"You won $500 cash! Claim your prize here: https://verify-now.example.net",1
"The meeting notes are in the shared folder.",0
"You won $300 cash! Claim your prize here: https://promo.example.com $$$",1
"You have 500 unclaimed rewards waiting. Confirm at https://verify-now.example.net",1
"Limited time offer: 90% OFF! Buy now at http://bit.ly/claim-now",1
"Can we reschedule our call to 6:30pm?",0
"WIN a vacation! Click now to claim your FREE reward!!!",1
"Thanks for your help today!",0
"You won $1000 cash! Claim your prize here: http://tinyurl.com/winfast",1
"URGENT: Your account has been compromised. Verify at https://verify-now.example.net immediately.",1
"LIMITED TIME OFFER: 90% OFF! BUY NOW AT HTTP://BIT.LY/CLAIM-NOW $$$",1
"Get rich quick from home. Earn $500/day. Sign up: http://bit.ly/claim-now $$$",1
"FREE gift card worth $500. Tap: https://verify-now.example.net $$$",1
"FINAL NOTICE: PAY YOUR OUTSTANDING BALANCE TO AVOID SUSPENSION: HTTP://BIT.LY/CLAIM-NOW",1
"I'll call you when I get home.",0
"You won $500 cash! Claim your prize here: https://promo.example.com $$$",1
"I'll call you when I get home.",0
"Lunch tomorrow at 2pm?",0
"Don't forget to water the plants.",0
"Please review the attached report before EOD.",0
"Thanks for your help today!",0
"Get rich quick from home. Earn $2500/day. Sign up: https://promo.example.com",1
"Don't forget to water the plants.",0
"Your verification code is 123456.",0
"Can you send me the invoice when you have a minute?",0
"YOU HAVE 1000 UNCLAIMED REWARDS WAITING. CONFIRM AT HTTP://TINYURL.COM/WINFAST $$$",1
"I'll call you when I get home.",0
"LIMITED TIME OFFER: 70% OFF! BUY NOW AT HTTPS://PROMO.EXAMPLE.COM $$$",1
"Happy birthday! Hope you have a great day.",0
"Let's meet at the cafe after work.",0
"Lunch tomorrow at tomorrow morning?",0
"You won $2500 cash! Claim your prize here: https://verify-now.example.net",1
"Limited time offer: 50% OFF! Buy now at http://tinyurl.com/winfast",1
"Your verification code is 551902.",0
"Congratulations! You have been selected for a laptop. Reply YES to get it. $$$",1
"Exclusive deal for you—act now and get shopping voucher.",1
"Your package will arrive on 2026-04-05.",0
"FREE gift card worth $500. Tap: http://tinyurl.com/winfast",1
"Your verification code is 847291.",0
"Congratulations! You have been selected for a vacation. Reply YES to get it.",1
"FREE gift card worth $2500. Tap: https://verify-now.example.net $$$",1
"I'm running late by 5 minutes.",0
"Your package will arrive on 2026-02-20.",0
"Your verification code is 778899.",0
"You won $500 cash! Claim your prize here: https://promo.example.com",1
"WIN a gift card! Click now to claim your FREE reward!!! $$$",1
"Can we reschedule our call to Friday 5pm?",0
"FREE GIFT CARD WORTH $300. TAP: HTTP://BIT.LY/CLAIM-NOW $$$",1
"Your package will arrive on 2026-02-10.",0
"Lunch tomorrow at next Monday 9am?",0
"Hey, are we still on for tomorrow morning?",0
"Final notice: pay your outstanding balance to avoid suspension: https://verify-now.example.net",1
"URGENT: Your account has been compromised. Verify at http://bit.ly/claim-now immediately.",1
"I'm running late by 10 minutes.",0
"Your verification code is 090112.",0
"You won $300 cash! Claim your prize here: http://tinyurl.com/winfast",1
"URGENT: Your account has been compromised. Verify at http://tinyurl.com/winfast immediately.",1
"You won $2500 cash! Claim your prize here: http://bit.ly/claim-now",1
"Let's meet at the cafe after work.",0
"Your package will arrive on 2026-02-15.",0
"URGENT: Your account has been compromised. Verify at http://tinyurl.com/winfast immediately.",1
"I'll call you when I get home.",0
"Can you send me the draft when you have a minute?",0
"WIN A LAPTOP! CLICK NOW TO CLAIM YOUR FREE REWARD!!! $$$",1
"GET RICH QUICK FROM HOME. EARN $2500/DAY. SIGN UP: HTTP://TINYURL.COM/WINFAST $$$",1
"Can you send me the slides when you have a minute?",0
"Get rich quick from home. Earn $300/day. Sign up: http://tinyurl.com/winfast",1
"Limited time offer: 50% OFF! Buy now at http://bit.ly/claim-now $$$",1
"Limited time offer: 90% OFF! Buy now at http://tinyurl.com/winfast",1
"FREE gift card worth $2500. Tap: https://verify-now.example.net $$$",1
"I'll call you when I get home.",0
"You have 300 unclaimed rewards waiting. Confirm at https://verify-now.example.net $$$",1
"I'm running late by 5 minutes.",0
"Can you send me the invoice when you have a minute?",0
"The meeting notes are in the shared folder.",0
"Can you send me the contract when you have a minute?",0
"Exclusive deal for you—act now and get cash bonus.",1
"You won $500 cash! Claim your prize here: https://promo.example.com",1
"YOU HAVE 1000 UNCLAIMED REWARDS WAITING. CONFIRM AT HTTP://TINYURL.COM/WINFAST $$$",1
"Can we reschedule our call to 10am?",0
"Limited time offer: 50% OFF! Buy now at https://verify-now.example.net $$$",1
"WIN a iPhone 15! Click now to claim your FREE reward!!!",1
"You have 300 unclaimed rewards waiting. Confirm at http://bit.ly/claim-now",1
"The meeting notes are in the shared folder.",0
"Limited time offer: 70% OFF! Buy now at https://promo.example.com $$$",1
